date,action,valid_fraction,csc_max,alert_pixels,gsd_m,tile_density_mb_per_km2,posterior_mean_max,posterior_tail_max,note
2024-06-09,BASELINE,1.000,0.180,0,0.0,0.00,0.500,0.500,baseline warmup
2024-06-25,BASELINE,1.000,0.180,0,0.0,0.00,0.500,0.500,baseline warmup
2024-07-11,BASELINE,1.000,0.180,0,0.0,0.00,0.500,0.500,baseline warmup
2024-07-27,FUSE,1.000,0.376,0,10.0,1.80,0.667,0.750,real-scene replay with NDWI
2024-08-12,FUSE,1.000,0.154,0,10.0,1.80,0.750,0.875,real-scene replay with NDWI
2024-08-28,FUSE,1.000,0.128,0,10.0,1.80,0.800,0.938,real-scene replay with NDWI
2024-09-13,FUSE,1.000,0.412,0,10.0,1.80,0.833,0.969,real-scene replay with NDWI
2024-09-29,FUSE,1.000,0.398,0,10.0,1.80,0.857,0.984,real-scene replay with NDWI
2024-10-15,FUSE,1.000,0.176,0,10.0,1.80,0.875,0.992,real-scene replay with NDWI
2024-10-31,FUSE,0.965,0.093,0,10.0,1.80,0.875,0.992,real-scene replay with NDWI
